"TestId","TargetDomain","TargetServerName","TargetIpAddress","Protocol","Port","Service","Purpose"
"EXAD0001","target.example.local","TGT-DC01.target.example.local","198.51.100.21","ICMP","","ICMP","Validate basic ICMP reachability where allowed by policy."
"EXAD0002","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","53","DNS","Validate DNS lookup connectivity for domain controller discovery and SRV record resolution."
"EXAD0003","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","88","Kerberos","Validate Kerberos authentication connectivity."
"EXAD0004","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","135","RPC Endpoint Mapper","Validate RPC endpoint mapper connectivity."
"EXAD0005","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","139","NetBIOS Session Service","Validate NetBIOS session service connectivity where legacy AD workflows require it."
"EXAD0006","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","389","LDAP","Validate LDAP connectivity."
"EXAD0007","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","445","SMB / Microsoft-DS","Validate SMB connectivity commonly required for domain controller operations."
"EXAD0008","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","464","Kerberos Password Change / Set","Validate Kerberos password change and set connectivity."
"EXAD0009","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","636","LDAPS","Validate LDAPS connectivity when secure LDAP is required."
"EXAD0010","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","3268","Global Catalog","Validate Global Catalog LDAP connectivity."
"EXAD0011","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","3269","Global Catalog over SSL","Validate Global Catalog LDAPS connectivity."
"EXAD0012","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","5722","DFS Replication","Validate DFS Replication connectivity for domain controller replication workflows."
"EXAD0013","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","5985","WinRM HTTP","Validate WinRM HTTP connectivity when remote administration is required."
"EXAD0014","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","5986","WinRM HTTPS","Validate WinRM HTTPS connectivity when secure remote administration is required."
"EXAD0015","target.example.local","TGT-DC01.target.example.local","198.51.100.21","TCP","9389","Active Directory Web Services","Validate Active Directory Web Services connectivity for modern AD management tools."
"EXAD0016","target.example.local","TGT-DC02.target.example.local","198.51.100.22","ICMP","","ICMP","Validate basic ICMP reachability where allowed by policy."
"EXAD0017","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","53","DNS","Validate DNS lookup connectivity for domain controller discovery and SRV record resolution."
"EXAD0018","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","88","Kerberos","Validate Kerberos authentication connectivity."
"EXAD0019","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","135","RPC Endpoint Mapper","Validate RPC endpoint mapper connectivity."
"EXAD0020","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","139","NetBIOS Session Service","Validate NetBIOS session service connectivity where legacy AD workflows require it."
"EXAD0021","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","389","LDAP","Validate LDAP connectivity."
"EXAD0022","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","445","SMB / Microsoft-DS","Validate SMB connectivity commonly required for domain controller operations."
"EXAD0023","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","464","Kerberos Password Change / Set","Validate Kerberos password change and set connectivity."
"EXAD0024","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","636","LDAPS","Validate LDAPS connectivity when secure LDAP is required."
"EXAD0025","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","3268","Global Catalog","Validate Global Catalog LDAP connectivity."
"EXAD0026","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","3269","Global Catalog over SSL","Validate Global Catalog LDAPS connectivity."
"EXAD0027","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","5722","DFS Replication","Validate DFS Replication connectivity for domain controller replication workflows."
"EXAD0028","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","5985","WinRM HTTP","Validate WinRM HTTP connectivity when remote administration is required."
"EXAD0029","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","5986","WinRM HTTPS","Validate WinRM HTTPS connectivity when secure remote administration is required."
"EXAD0030","target.example.local","TGT-DC02.target.example.local","198.51.100.22","TCP","9389","Active Directory Web Services","Validate Active Directory Web Services connectivity for modern AD management tools."
"EXAD0031","target.example.local","TGT-DC03.target.example.local","198.51.100.23","ICMP","","ICMP","Validate basic ICMP reachability where allowed by policy."
"EXAD0032","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","53","DNS","Validate DNS lookup connectivity for domain controller discovery and SRV record resolution."
"EXAD0033","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","88","Kerberos","Validate Kerberos authentication connectivity."
"EXAD0034","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","135","RPC Endpoint Mapper","Validate RPC endpoint mapper connectivity."
"EXAD0035","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","139","NetBIOS Session Service","Validate NetBIOS session service connectivity where legacy AD workflows require it."
"EXAD0036","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","389","LDAP","Validate LDAP connectivity."
"EXAD0037","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","445","SMB / Microsoft-DS","Validate SMB connectivity commonly required for domain controller operations."
"EXAD0038","target.example.local","TGT-DC03.target.example.local","198.51.100.23","TCP","464","Kerberos Password Change / Set","Validate Kerberos password change and set connectivity."
