"TargetDomain","TargetServerName","Protocol","Port","Service","Status","Count"
"target.example.local","TGT-DC01.target.example.local","ICMP","","ICMP","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","135","RPC Endpoint Mapper","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","139","NetBIOS Session Service","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","3268","Global Catalog","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","3269","Global Catalog over SSL","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","389","LDAP","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","445","SMB / Microsoft-DS","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","464","Kerberos Password Change / Set","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","53","DNS","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","5722","DFS Replication","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","5985","WinRM HTTP","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","5986","WinRM HTTPS","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","636","LDAPS","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","88","Kerberos","Pass","1"
"target.example.local","TGT-DC01.target.example.local","TCP","9389","Active Directory Web Services","Pass","1"
"target.example.local","TGT-DC02.target.example.local","ICMP","","ICMP","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","135","RPC Endpoint Mapper","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","139","NetBIOS Session Service","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","3268","Global Catalog","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","3269","Global Catalog over SSL","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","389","LDAP","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","445","SMB / Microsoft-DS","Fail","1"
"target.example.local","TGT-DC02.target.example.local","TCP","464","Kerberos Password Change / Set","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","53","DNS","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","5722","DFS Replication","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","5985","WinRM HTTP","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","5986","WinRM HTTPS","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","636","LDAPS","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","88","Kerberos","Pass","1"
"target.example.local","TGT-DC02.target.example.local","TCP","9389","Active Directory Web Services","Pass","1"
"target.example.local","TGT-DC03.target.example.local","ICMP","","ICMP","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","135","RPC Endpoint Mapper","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","139","NetBIOS Session Service","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","3268","Global Catalog","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","3269","Global Catalog over SSL","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","389","LDAP","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","445","SMB / Microsoft-DS","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","464","Kerberos Password Change / Set","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","53","DNS","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","5722","DFS Replication","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","5985","WinRM HTTP","Fail","1"
"target.example.local","TGT-DC03.target.example.local","TCP","5986","WinRM HTTPS","Fail","1"
"target.example.local","TGT-DC03.target.example.local","TCP","636","LDAPS","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","88","Kerberos","Pass","1"
"target.example.local","TGT-DC03.target.example.local","TCP","9389","Active Directory Web Services","Pass","1"
