"TestId","TargetDomain","TargetServerName","TargetIpAddress","Protocol","Port","Service","Purpose"
"ADLOS001","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","ICMP","","ICMP","Validate basic ICMP reachability where allowed by policy."
"ADLOS002","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","53","DNS","Validate DNS lookup connectivity for domain controller discovery and SRV record resolution."
"ADLOS003","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","88","Kerberos","Validate Kerberos authentication connectivity."
"ADLOS004","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","135","RPC Endpoint Mapper","Validate RPC endpoint mapper connectivity."
"ADLOS005","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","139","NetBIOS Session Service","Validate NetBIOS session service connectivity where legacy AD workflows require it."
"ADLOS006","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","389","LDAP","Validate LDAP connectivity."
"ADLOS007","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","445","SMB / Microsoft-DS","Validate SMB connectivity commonly required for domain controller operations."
"ADLOS008","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","464","Kerberos Password Change / Set","Validate Kerberos password change and set connectivity."
"ADLOS009","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","636","LDAPS","Validate LDAPS connectivity when secure LDAP is required."
"ADLOS010","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","3268","Global Catalog","Validate Global Catalog LDAP connectivity."
"ADLOS011","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","3269","Global Catalog over SSL","Validate Global Catalog LDAPS connectivity."
"ADLOS012","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","5722","DFS Replication","Validate DFS Replication connectivity for domain controller replication workflows."
"ADLOS013","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","5985","WinRM HTTP","Validate WinRM HTTP connectivity when remote administration is required."
"ADLOS014","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","5986","WinRM HTTPS","Validate WinRM HTTPS connectivity when secure remote administration is required."
"ADLOS015","target.example.local","TARGET-DC01.target.example.local","198.51.100.10","TCP","9389","Active Directory Web Services","Validate Active Directory Web Services connectivity for modern AD management tools."
